	EHZ1	EHZ2	TJS1	TJS2	TJS3
Barthea00140	-0.021968277296411	1.62474123664789	0.554202342526774	1.62484650467767	0.971790538603706
Barthea00141	2.5813727527396	1.95521444066826	2.06554198010475	2.23649104805134	2.55675303932486
Barthea00142	5.46988481903326	5.20851290359043	5.82629240196911	6.30066243584994	5.8739320750044
Barthea00143	4.69121993358667	4.63718600301454	6.17417590196442	6.4309643007133	5.81001794339518
Barthea00146	5.86318053915804	5.86815091224221	4.99293213970184	3.91880548370637	4.19925394948758
Barthea00147	6.59462768950984	6.84419732796398	5.74962046127106	6.38058868402306	6.43905164675099
Barthea00148	5.34994795342263	5.45135264815824	5.6511337916498	5.77605589756257	5.58276336656465
Barthea00149	3.18046953766439	3.01637830334666	4.80439468381522	2.73052458257221	2.7935869730498
Barthea00150	3.64391421880831	2.40115798153282	4.356935706844	3.52634095972525	3.91744044189158
Barthea00151	2.6869829407002	2.66001671139542	2.40100248829896	2.09369044765231	2.8276679682929
Barthea00152	5.14280975100609	5.16251705192461	4.96080399131178	5.32706075568812	5.46860212925357
Barthea00153	7.56434226667656	8.11293932348388	6.49829155608954	6.87550495917608	6.71572415748993
Barthea00154	6.24577877943989	5.2760061077372	5.70788670296188	5.33413714040103	5.7115473825105
Barthea00155	0.473989217366	-0.17548925097633	1.80099610735336	2.42061345246007	1.76455792443826
Barthea00156	5.93520819329269	5.66262792485196	4.59271190563337	5.16388120764843	5.08296295276193
Barthea00157	3.46411897334194	3.43820496828814	3.93312799793742	3.46319324119891	3.89082169708444
Barthea00158	2.41372869254853	2.31525790812718	0.321003166233744	0.887880910511469	0.844411232127478
Barthea00159	3.63807334021925	3.27486878403551	2.38897996004975	0.887880910511469	1.71686118240697
Barthea00160	6.28087565588616	6.48370700658564	5.66740025671501	4.98211698035723	4.94487141390669
Barthea00161	4.0784919044828	3.5849152561547	3.76190875128327	3.75972455902079	3.6954875316144
Barthea00162	4.75467564156183	4.15882256836686	3.26619028160436	3.23270940750891	3.30182368312812
Barthea00163	4.57985011930973	4.41980038790672	3.891125175644	4.34731252914877	4.38237625331146
Barthea00164	1.61149274111593	1.59588637397571	2.73128713554195	2.55992902799634	2.87189196854958
Barthea00165	4.92505043101742	5.1073595246691	4.33829998971478	4.19239195232142	4.14622396571776
Barthea00166	6.502799441506	6.39331864849166	5.73663375700743	6.11490312914199	6.18453522514509
Barthea00167	9.48729920045072	8.89458541545141	8.61199205525427	8.69411902925421	8.94057900120998
Barthea00168	3.1479567241459	3.83380849360576	2.7688839221996	2.75181936093544	3.44775226216349
Barthea00170	-0.262976376800206	0.175983119525048	0.10282299618421	0.273772064130796	0.654933433263765
Barthea00172	6.08333587671412	6.0075043527134	5.44739065778951	5.67934772086024	5.42474228411699
Barthea00173	1.53811955478572	1.40947324974483	1.47679783884117	1.89746695934067	1.76455792443826
Barthea00174	3.78274192350563	4.33939481400869	2.67298849497729	3.69523583256907	3.2356713481232
Barthea00175	3.91421662510615	4.32188085032091	4.36616406479754	4.09993138762646	4.62455978422025
Barthea00177	1.37913003102456	0.581239598011306	2.91856570373453	2.66468676920947	3.11206226603164
Barthea00178	2.64099673542602	2.18569827435826	2.00381299035304	1.64774690678775	2.89350578165565
Barthea00179	0.0501815084594241	1.90904425923534	3.76656261028948	2.66468676920947	3.05566309585873
Barthea00180	6.35752117312743	6.63408486093723	5.27846164882092	6.07533196453879	5.44317953237366
Barthea00181	7.62096281142649	7.59474743411953	7.38122504178031	7.84161176032296	7.83064711489604
Barthea00182	0.247218355518978	3.25654860082872	2.62253947228993	0.213651071693225	0.0314967847279733
Barthea00183	2.09350894012353	3.31082566181191	2.30189434328604	0.150915316345263	0.494468761070519
Barthea00184	3.09777096697768	2.81827879531216	3.76190875128327	3.91880548370637	3.34952042515942
Barthea00187	5.14487074427216	5.02587421472052	5.12383127240005	5.08217813016269	4.99572055540244
Barthea00188	0.758718694299113	0.175983119525048	0.418850489631888	0.962842968192691	0.436753263214232
Barthea00189	4.05676415884939	3.75116459945362	3.85224780707705	3.95597842689488	3.6390270423544
Barthea00191	2.89720064809054	2.51342421378373	2.91856570373453	2.17476205829963	2.32188930618223
Barthea00192	0.921448194337221	0.943809677396015	0.827963154953627	0.0853269747176857	0.549963873662223
Barthea00193	2.65263143590942	2.48222959218014	1.22958013847015	1.71434465551678	1.08882995979392
Barthea00194	6.32789416038085	7.13614163650031	6.95393460771278	6.32484224834507	7.55017651940524
Barthea00195	3.34008793029626	2.68762894260328	2.50492143975556	2.2663925337652	2.64859190638994
Barthea00196	0.184482600171015	-0.389614056329177	-0.756999345767529	-0.817375823927399	-0.654394624843964
Barthea00197	4.91058720170545	4.75279938154456	5.17898416136132	4.60596849447199	4.63742671491256
Barthea00198	3.72880311639483	5.72225190753838	4.23462747320747	3.53250633253096	5.09467320407539
Barthea00199	4.23372611919086	4.16865357772656	3.10649865432761	3.23270940750891	3.42566976408522
Barthea00201	5.16328837790189	5.15264399343774	5.36846196022503	4.67447727240228	5.19382006343695
Barthea00202	5.23081843589376	5.54867173555488	4.53932209298377	5.0416862465905	4.56519481321152
Barthea00203	2.65263143590942	1.78670871631129	0.160538494040498	0.273772064130796	0.248308173801121
Barthea00204	3.61447044091583	4.09323422673929	4.48670358181433	4.89148314719166	4.46770185150773
Barthea00205	0.307339347956549	1.68077527156222	0.418850489631888	0.440421933540248	-0.654394624843964
Barthea00208	3.50961312709672	3.52495046716476	4.24800133529084	4.14489152871749	4.30787272780093
Barthea00209	4.84871258013002	4.94524021300246	3.2596026215696	3.46319324119891	3.13038244923843
