	EHZ1	EHZ2	TJS1	TJS2	TJS3
Barthea00062	5.53112559160582	5.78918201217256	5.89287572805641	6.57651120111153	6.31473132591899
Barthea00063	3.73436866744569	3.73148277195848	3.44061576482137	3.82190348078563	3.67724576401936
Barthea00064	1.35092099856027	0.747970894747048	0.997125690053095	1.52987687161213	1.56384436716027
Barthea00065	0.842456635313161	0.176064546851338	2.16881114935984	2.3248480692139	2.32222326784233
Barthea00066	0.842456635313161	0.176064546851338	2.16881114935984	2.3248480692139	2.32222326784233
Barthea00067	4.03033141780099	4.69282934055459	3.50335152016933	2.91217758447897	3.10314815088972
Barthea00069	5.82905985726264	5.89808741510918	4.78968361018262	4.87746984989284	4.35570711306496
Barthea00073	5.35359678611105	4.84466209395092	5.0901731642417	4.89672211278375	4.82940464765309
Barthea00074	3.17248977983758	2.24273558649663	1.23079803625555	1.75754423498925	2.35375884127543
Barthea00076	6.7564416360054	7.31948223590038	6.5354318948832	7.0923150083806	6.98571257284108
Barthea00077	3.30373431311583	3.97503980329297	3.46947062749356	3.73899693585554	3.45537257790208
Barthea00078	4.45592188262288	4.44841061288814	4.81463650494408	4.90625275052187	4.63134155567838
Barthea00079	4.94419192642869	4.83543373599739	4.51861827682264	4.05825584396692	4.6756869361628
Barthea00080	4.06557457592107	4.53836382472593	4.13858722737171	4.03237721214131	3.55369641178419
Barthea00081	4.1459801498191	4.16873500505285	4.67296643132762	4.67492720441541	4.89517991530333
Barthea00082	3.7398334279225	4.54215042805692	5.95846406968399	4.01926171235105	5.58641959806571
Barthea00086	9.10680011189818	9.77431828076029	8.74502355522382	8.04173087025967	9.2061491630019
Barthea00087	9.10680011189818	9.77431828076029	8.74502355522382	8.04173087025967	9.2061491630019
Barthea00088	1.26256512413943	1.595967801302	0.965064480820796	1.10245564787745	1.69274210034253
Barthea00092	3.60260259957852	3.82147956448262	1.76545545512864	2.04321644450278	0.799657304259038
Barthea00093	4.91066721367259	5.19903210839846	4.85455989910594	4.70253943562327	4.92697613432349
Barthea00094	4.99991032494929	5.02595564204681	5.31190188080457	5.25103449859946	5.73601480880822
Barthea00095	4.33836794821719	4.84159252887616	4.43037865619498	5.07841888328663	5.09267270723116
Barthea00097	5.17551747253515	5.37494092198978	5.04870814038108	4.88230705489684	4.75163578939609
Barthea00098	2.14392062764081	2.60323580176604	3.00896730269761	1.62529643669081	2.20608167323317
Barthea00099	5.24825728745554	6.00209763251454	5.39095220820051	4.91099456264894	6.09675553400548
Barthea00101	2.69833406500236	3.20978516469534	3.22065008087946	3.68465171430723	3.59386685025972
Barthea00103	4.16641526542789	4.66531584799273	3.63653597479663	3.95642835890801	4.10546573378312
Barthea00104	4.75475565352897	4.99036553452181	4.70000239364002	4.47489544784226	4.05359856147031
Barthea00105	1.26256512413943	1.03270037168016	1.08924389204153	1.42769647680565	2.02204972559549
Barthea00106	5.42657223548702	5.67137942058499	4.95998992391495	4.80034192280173	4.92172519116231
Barthea00107	1.0325595186931	1.19542987171827	-0.225266731283353	0.440871865553385	0.93090183753729
Barthea00108	2.25495194002955	4.45244048992429	3.40521042869017	4.92043168569163	4.00972945395962
Barthea00109	1.20050415600718	0.639036523193884	0.829181052739023	-0.131034482342325	0.314230477088796
Barthea00110	4.51129169328934	5.12774306420669	3.21384490297435	3.53909540164151	3.51934490699341
Barthea00111	3.13150136838674	2.92661311329047	3.35041795584979	3.24822678761099	3.46983580721404
Barthea00113	2.09358895209066	1.97783843664564	2.96100626424644	3.04752943737386	3.38843141893021
Barthea00114	0.525599529973221	2.00003418275984	0.217251504417598	-0.211204831026308	-0.654060663183866
Barthea00115	1.13565301165721	1.78679014363758	0.8987219859921	0.590249489591612	0.314230477088796
Barthea00117	4.06557457592107	3.65660915264183	4.55137718757489	5.08262806217583	5.54262163904669
Barthea00118	4.35982105788351	3.94675075886155	3.46374563965993	3.39760441164922	2.54347656946631
Barthea00120	4.33476120873646	3.98620190958027	5.17845545476766	5.4035050130889	5.33709143489761
Barthea00121	1.13565301165721	0.84925423058423	0.161756391825894	-0.211204831026308	0.494802722730617
Barthea00122	3.4838724043635	2.86747798920314	2.57148009120827	2.09414037966545	2.69889432732412
Barthea00123	4.01689006242722	4.38235294951248	4.31110503182497	4.24259491953166	4.7780272882875
Barthea00125	4.54601907121215	4.49213199031746	4.35506432070616	3.67353262234366	4.37119928921787
Barthea00126	5.60933543801972	5.90398500141454	5.29588067184036	5.67979765287337	5.66079345655646
Barthea00127	3.12316206747401	2.89142368482817	4.05728712526986	4.03237721214131	4.52108204752947
Barthea00130	3.88500233027925	3.78359480447777	3.72055223056558	3.79650326410896	4.58226556398096
Barthea00131	1.95009735850113	1.15643574010241	0.7561175905493	0.888330842524606	0.888466571216894
Barthea00133	4.11687580462658	4.0082703328596	4.80787385955712	4.97352885593008	5.29912358469859
Barthea00134	5.71299501665313	5.61136877373865	5.57613073547785	5.62457490877335	5.4544637935943
Barthea00137	5.10739475161569	4.84772514189748	4.82583760966465	4.43594518447346	4.42042988092072
Barthea00138	3.43080177542897	3.55532581680465	3.753773650081	4.44904579699909	3.90186216458594
Barthea00139	-0.262896364833067	0.0958941981673546	1.17583157703762	2.15935803911193	1.53662289842524
Barthea00140	-0.0218882653292723	1.62482266397418	0.555420240312171	1.62529643669081	0.972124500263803
Barthea00141	2.58145276470674	1.95529586799455	2.06675987789015	2.23694098006447	2.55708700098496
Barthea00142	5.4699648310004	5.20859433091672	5.82751029975451	6.30111236786308	5.8742660366645
Barthea00143	4.69129994555381	4.63726743034083	6.17539379974981	6.43141423272644	5.81035190505527
Barthea00146	5.86326055112518	5.8682323395685	4.99415003748724	3.91925541571951	4.19958791114767
Barthea00147	6.59470770147697	6.84427875529027	5.75083835905645	6.3810386160362	6.43938560841109
Barthea00148	5.35002796538977	5.45143407548453	5.65235168943519	5.77650582957571	5.58309732822474
Barthea00149	3.18054954963153	3.01645973067295	4.80561258160062	2.73097451458535	2.79392093470989
Barthea00150	3.64399423077545	2.40123940885911	4.3581536046294	3.52679089173839	3.91777440355168
Barthea00151	2.68706295266734	2.66009813872171	2.40222038608436	2.09414037966545	2.828001929953
Barthea00152	5.14288976297323	5.1625984792509	4.96202188909718	5.32751068770125	5.46893609091367
Barthea00153	7.5644222786437	8.11302075081017	6.49950945387494	6.87595489118922	6.71605811915003
Barthea00154	6.24585879140703	5.27608753506349	5.70910460074727	5.33458707241417	5.7118813441706
Barthea00155	0.474069229333139	-0.17540782365004	1.80221400513875	2.4210633844732	1.76489188609836
Barthea00156	5.93528820525983	5.66270935217825	4.59392980341877	5.16433113966157	5.08329691442203
Barthea00157	3.46419898530908	3.43828639561443	3.93434589572282	3.46364317321204	3.89115565874453
Barthea00158	2.41380870451566	2.31533933545347	0.32222106401914	0.888330842524606	0.844745193787576
Barthea00159	3.63815335218639	3.2749502113618	2.39019785783515	0.888330842524606	1.71719514406706
Barthea00160	6.2809556678533	6.48378843391193	5.6686181545004	4.98256691237037	4.94520537556679
Barthea00161	4.07857191644994	3.58499668348099	3.76312664906866	3.76017449103392	3.6958214932745
Barthea00162	4.75475565352897	4.15890399569316	3.26740817938976	3.23315933952205	3.30215764478822
Barthea00163	4.57993013127686	4.41988181523301	3.8923430734294	4.3477624611619	4.38271021497156
Barthea00164	1.61157275308307	1.595967801302	2.73250503332735	2.56037896000947	2.87222593020968
Barthea00165	4.92513044298456	5.10744095199539	4.33951788750017	4.19284188433456	4.14655792737786
Barthea00166	6.50287945347314	6.39340007581795	5.73785165479283	6.11535306115512	6.18486918680518
Barthea00167	9.48737921241785	8.8946668427777	8.61320995303967	8.69456896126735	8.94091296287008
Barthea00168	3.14803673611304	3.83388992093205	2.770101819985	2.75226929294858	3.44808622382359
Barthea00170	-0.262896364833067	0.176064546851338	0.104040893969607	0.274221996143934	0.655267394923863
Barthea00172	6.08341588868125	6.00758578003969	5.4486085555749	5.67979765287337	5.42507624577709
Barthea00173	1.53819956675285	1.40955467707112	1.47801573662656	1.8979168913538	1.76489188609836
