GeneName	RepeatName	r.squared	adjusted-r.squared	model-p.value	individual-p.vals
Barthea26580	TE_struc_430	0.623835723353278	0.247671446706555	0.376164276646722	TE_struc_430 : 0.704295976456868 // ColorW : 0.287597116736323
Barthea28737	TE_struc_461	0.905842181487589	0.811684362975177	0.0941578185124114	TE_struc_461 : 0.476574358688318 // ColorW : 0.0499793793821516
Barthea28973	TE_struc_466	0.660306615650254	0.320613231300507	0.339693384349746	TE_struc_466 : 0.538191087235147 // ColorW : 0.426949215842836
Barthea30858	TE_struc_520	0.986196622627094	0.972393245254189	0.0138033773729055	TE_struc_520 : 0.15419305945725 // ColorW : 0.00702857645040696
Barthea30966	TE_struc_521	0.996823368968141	0.993646737936283	0.00317663103185844	TE_struc_521 : 0.0705169265032368 // ColorW : 0.0310503377691736
Barthea30610	TE_struc_524	0.835460810877024	0.670921621754049	0.164539189122976	TE_struc_524 : 0.085965620532559 // ColorW : 0.102568196336024
Barthea30893	TE_struc_527	0.944891951591585	0.889783903183171	0.0551080484084146	TE_struc_527 : 0.146493931185047 // ColorW : 0.111516120649703
Barthea32210	TE_struc_542	0.346803930622828	-0.306392138754345	0.653196069377172	TE_struc_542 : 0.531029547098384 // ColorW : 0.897770912576238
Barthea35897	TE_struc_592	0.592429914813969	0.184859829627938	0.407570085186031	TE_struc_592 : 0.265510172357074 // ColorW : 0.795730300852885
Barthea37419	TE_struc_595	0.389534078990755	-0.220931842018491	0.610465921009245	TE_struc_595 : 0.405901119129763 // ColorW : 0.423075172040745
Barthea36204	TE_struc_597	0.213078131772696	-0.573843736454608	0.786921868227304	TE_struc_597 : 0.839317623647145 // ColorW : 0.740625870128152
Barthea36348	TE_struc_599	0.982006028243603	0.964012056487206	0.0179939717563972	TE_struc_599 : 0.764793599579955 // ColorW : 0.0332620112842498
Barthea39013	TE_struc_626	0.982100842408529	0.964201684817058	0.0178991575914711	TE_struc_626 : 0.0193814027995404 // ColorW : 0.0399000291439089
Barthea39025	TE_struc_628	0.991213783309635	0.98242756661927	0.00878621669036486	TE_struc_628 : 0.0631444285868949 // ColorW : 0.00537472887911066
Barthea38098	TE_struc_636	0.359272024941537	-0.281455950116925	0.640727975058462	TE_struc_636 : 0.90118362238906 // ColorW : 0.533200174233476
Barthea40702	TE_struc_673	0.935752563206782	0.871505126413564	0.0642474367932179	TE_struc_673 : 0.37668225364857 // ColorW : 0.0453398276294078
Barthea42524	TE_struc_677	0.68638722396224	0.37277444792448	0.31361277603776	TE_struc_677 : 0.500935731040261 // ColorW : 0.45017596423276
Barthea41783	TE_struc_699	0.972510315197494	0.945020630394987	0.0274896848025065	TE_struc_699 : 0.516435792402166 // ColorW : 0.0152156552341959
Barthea05217	TE_struc_69	0.13588232584828	-0.728235348303439	0.86411767415172	TE_struc_69 : 0.658280805576858 // ColorW : 0.639339317627
Barthea04163	TE_struc_6	0.957030549224804	0.914061098449609	0.0429694507751954	TE_struc_6 : 0.0325168815402858 // ColorW : 0.0966583407380425
Barthea05293	TE_struc_71	0.934691042820427	0.869382085640854	0.0653089571795731	TE_struc_71 : 0.0528771787488365 // ColorW : 0.0375166824374356
Barthea43608	TE_struc_726	0.880833965935685	0.761667931871371	0.119166034064315	TE_struc_726 : 0.732354093694963 // ColorW : 0.0900339923680263
Barthea44552	TE_struc_738	0.125163680501895	-0.749672638996209	0.874836319498105	TE_struc_738 : 0.989299253855139 // ColorW : 0.872698821563759
Barthea45073	TE_struc_756	0.627610075330827	0.255220150661654	0.372389924669173	TE_struc_756 : 0.648029174608206 // ColorW : 0.207807417055567
Barthea06023	TE_struc_80	0.878543971053882	0.757087942107765	0.121456028946118	TE_struc_80 : 0.331594784310823 // ColorW : 0.158979327361234
Barthea05904	TE_struc_9	0.992104624631299	0.984209249262599	0.00789537536870055	TE_struc_9 : 0.136107306059583 // ColorW : 0.0228167415516768
Barthea24758	repeat_region_186	0.984354920813993	0.968709841627986	0.0156450791860071	repeat_region_186 : 0.215644110483575 // ColorW : 0.00787759495495288
Barthea02395	repeat_region_5	0.6414827130425	0.282965426085	0.3585172869575	repeat_region_5 : 0.199161419220671 // ColorW : 0.470231447537394
