baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significance
Barthea00368	134.008182320555	-2.0800866355882	0.347681646152054	-5.98273351098466	2.19423607352552e-09	8.52495739040385e-08	Gene
Barthea00375	2751.60880368021	2.52952408054043	0.551028612957893	4.59054942167536	4.42080761144498e-06	7.06905347783224e-05	Gene
Barthea00384	556.430844128664	2.73764418794863	0.447104657116688	6.12305003844805	9.18008490519157e-10	3.83816196096445e-08	Gene
Barthea00394	645.513584781193	-3.56967275898974	0.270332644577094	-13.2047417527916	8.23817552497246e-40	8.62690245846477e-37	Gene
Barthea00402	27.951477529585	2.81955163318956	0.75741293162889	3.72260825693304	0.000197175323037897	0.00172769169509115	Gene
Barthea00439	203.132943729055	2.05767373618285	0.644190536705652	3.19420050270477	0.00140218693737673	0.00870163665974873	Gene
Barthea00454	93.5565748350355	-2.11115218770166	0.369760903736445	-5.7095062413803	1.1330440234989e-08	3.72407586380527e-07	Gene
Barthea00461	31.2808215799599	-2.48298822543875	0.630024072856403	-3.94110055855704	8.11086124378459e-05	0.000828548028462741	Gene
Barthea00472	249.623956683956	2.44921659261692	0.303502621398161	8.06983669970951	7.03922533713752e-16	8.66036277885152e-14	Gene
Barthea00474	40.1072663762937	-2.2373925041115	0.578729332014329	-3.86604303660231	0.000110615426871659	0.00107462827542696	Gene
Barthea00487	23.3435329288411	-3.03161421954527	0.841832435965696	-3.60120861352604	0.000316741287914792	0.00256747132197013	Gene
Barthea00488	350.159717464792	-2.2456946230136	0.400573802220606	-5.60619444048625	2.06823606013076e-08	6.39633252415028e-07	Gene
Barthea00507	37.9154784977115	-8.30372509526294	1.53443865535938	-5.41157189064567	6.24739036004979e-08	1.73222746627267e-06	Gene
Barthea00535	246.943590071164	-2.46159108091055	0.334789029198785	-7.35266351708601	1.94295618381329e-13	1.58782892923645e-11	Gene
Barthea00542	187.931501113289	-2.78961658555868	0.476151181578702	-5.85867828009912	4.66565562336556e-09	1.67535731311426e-07	Gene
Barthea00566	236.927137585681	3.0039286086974	0.73738589049562	4.07375384776941	4.62613764042305e-05	0.000516899136006475	Gene
Barthea00574	1249.09814092925	-2.40984847135658	0.393434705186753	-6.12515479592145	9.05954855686416e-10	3.79128635657097e-08	Gene
Barthea00579	18.5863652297116	-2.69440922937888	0.868510304214525	-3.10233421100937	0.00192001059548032	0.0111971376705922	Gene
Barthea00593	967.104592387576	3.09583199062576	0.349576924366517	8.85593920776049	8.29820995542635e-19	1.50684933986401e-16	Gene
Barthea00594	11.9965800073098	2.15740093120416	0.84348919790387	2.55771020727409	0.0105363855991544	0.042939895659727	Gene
Barthea00610	47.4610992741658	2.74349632090003	0.489798330325129	5.60127740549645	2.12777899070449e-08	6.54899249298925e-07	Gene
Barthea00613	249.785802111098	2.48714050070229	0.365415437576956	6.80633669227096	1.00115256354156e-11	6.17546558680999e-10	Gene
Barthea00615	9.07856917496298	-4.7491224919862	1.6367657812405	-2.90152845716682	0.00371347049460061	0.0190383539680486	Gene
Barthea00617	628.753941796842	-3.68192341086258	0.439124129045046	-8.38469846525989	5.08559497734658e-17	7.24681190616896e-15	Gene
Barthea00632	32.8187983566197	-2.45063450296382	0.644194209390697	-3.80418586078524	0.000142271332117626	0.00131790491954836	Gene
Barthea00646	63.3099118881144	-3.48878640318003	0.7258563518925	-4.80644192764015	1.53640083516836e-06	2.82608632380704e-05	Gene
Barthea00717	214.166023658501	2.46711708784692	0.377013048711654	6.54385066054785	5.99546693501091e-11	3.23704892825667e-09	Gene
Barthea00719	40.0494387903858	3.09145041993719	0.577439229646822	5.35372427299061	8.61621237038173e-08	2.28529130256243e-06	Gene
Barthea00751	39.598612314784	-3.75804257820459	0.904119402930474	-4.15657773301164	3.2305028840031e-05	0.000380403541746275	Gene
Barthea00765	495.687605815195	-2.64581946360109	0.469739069604446	-5.63253013173688	1.77584805766601e-08	5.58534428639633e-07	Gene
Barthea00766	461.026369302429	-2.78331927990519	0.478388526492196	-5.8181146197506	5.95150877663692e-09	2.08067149614273e-07	Gene
Barthea00767	236.854264201858	-3.20992253927967	0.56293817312652	-5.70208717851195	1.18349269762732e-08	3.87856569734065e-07	Gene
Barthea00772	25.5402604728744	2.02358309981766	0.602165924047054	3.36050749304695	0.000777994203543325	0.0053912436120887	Gene
Barthea00788	87.9398175138742	2.26271111659542	0.484242256281542	4.67268415187596	2.97288760256242e-06	4.98942064315256e-05	Gene
Barthea00790	90.398615131496	-3.28467182157644	0.658135274258693	-4.99087642016486	6.01059450452443e-07	1.23867761988206e-05	Gene
Barthea00793	24.7046426344727	-2.18576222377915	0.725582046742926	-3.01242600142995	0.00259168614212191	0.0142314469972762	Gene
Barthea00817	298.532907477866	-4.20327661882966	0.573897230841392	-7.32409287402769	2.40520077602603e-13	1.9243322722319e-11	Gene
Barthea00866	427.423838842444	-2.41843840979491	0.378734159096089	-6.38558300515302	1.70745695666916e-10	8.47685549083304e-09	Gene
Barthea00867	196.514167772171	-2.20095269537175	0.501758624148458	-4.38647706176853	1.15201307497803e-05	0.000159983736617135	Gene
Barthea00868	64.1356084436765	-2.65331068021965	0.479735932743791	-5.5307732840531	3.18822171284634e-08	9.53903225965168e-07	Gene
Barthea00878	225.246534252908	-3.76199896398503	0.562471078209099	-6.68834204944934	2.25713082958997e-11	1.32166897432519e-09	Gene
Barthea00892	294.490344373771	-4.04085577780762	0.424522570884348	-9.51858877465544	1.75546701075833e-21	4.46592791115462e-19	Gene
Barthea00904	934.640236114907	-2.96680304000466	0.323652992665169	-9.16661704739411	4.88096083771177e-20	1.041634054793e-17	Gene
Barthea00917	1307.81454524665	-2.02371701437164	0.579421262750506	-3.49265231442333	0.000478248761107421	0.0036266526547501	Gene
