baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Barthea00505	184.061039590327	1.32916657780284	0.382245818599905	3.47725603035066	0.000506573834391099	0.00839723752026543
Barthea00507	6.67442988372187	-6.15963870533934	1.78615282167722	-3.44855077940944	0.000563603485602644	0.00911844090990203
Barthea00535	129.411858848754	-1.50414356438346	0.444641109956753	-3.38282612808734	0.000717440384317646	0.0111165892882552
Barthea00536	249.851433596861	-2.91305344951098	0.439183275945081	-6.63288792871806	3.29181750479117e-11	4.00201130540416e-09
Barthea00542	185.670220798858	-3.58119662373211	0.928836295147304	-3.8555735197279	0.000115458623845215	0.00252456545653771
Barthea00549	283.585486314054	-1.4906347730893	0.422882184646014	-3.52494105264113	0.000423577036670272	0.00724709358240833
Barthea00550	86.7165659952753	-2.34077839298092	0.718039069162044	-3.2599596505419	0.00111428064646071	0.0156280487228925
Barthea00579	13.9390616561016	-2.84645196165747	0.883835555089873	-3.22056738413067	0.00127937112407769	0.0174310869073894
Barthea00583	65.4859929227073	-2.24409660079833	0.458403536857424	-4.89546092114099	9.80755809255026e-07	4.3396084910825e-05
Barthea00593	980.720872146724	2.31637966525219	0.513749740425888	4.50877048294362	6.52044011807512e-06	0.000226025537334921
Barthea00599	1309.09156898939	1.10259267342868	0.313088777816187	3.52166143136565	0.000428851469596744	0.00732193983705743
Barthea00611	386.306451625366	1.22743662486912	0.409281806975696	2.99900118683263	0.00270866251614713	0.0309000635230218
Barthea00649	140.653402391437	-1.13738407644237	0.344619378289159	-3.30040661697216	0.000965448372709716	0.0139626970116654
Barthea00650	129.218260187856	-1.17221850034777	0.352956721270797	-3.32113947604477	0.000896507233895288	0.0131843132754447
Barthea00665	177.182097363181	2.67542568081443	0.455687440611755	5.87118591028688	4.32688718466948e-09	3.62906002263116e-07
Barthea00686	511.857159602785	1.73899971405972	0.516541844041288	3.36661924705701	0.000760956742507048	0.0116094682510691
Barthea00727	119.901790067015	-1.75921798328244	0.517991304884424	-3.39623072181678	0.000683207440679027	0.0107075352687765
Barthea00728	148.135354187179	-1.77211404160897	0.627604781355391	-2.82361462859137	0.00474854422603916	0.0471082040470636
Barthea00733	37.0973402465125	2.8504829672519	0.608410601196342	4.6851303406727	2.79781828523803e-06	0.000108595287625413
Barthea00734	11.7173426655871	2.80333106692899	0.871852283195287	3.21537388954806	0.00130274721468496	0.0176734013902071
Barthea00735	18.5847556736566	3.77094749728651	0.971495075724922	3.88159198282364	0.000103774885762979	0.00231004174624238
Barthea00736	20.3528075676431	3.12907238942975	0.792019483218936	3.95075178796426	7.79060889186281e-05	0.00182750484557496
Barthea00738	307.204704050251	-0.92868009793025	0.283832989316496	-3.27192445165244	0.00106818115393549	0.0151029527146457
Barthea00741	30.6900881555663	-4.50601678781606	1.14569114918854	-3.93301178158489	8.38881243896354e-05	0.00194795311800083
Barthea00751	40.3960928575846	-2.96307553318013	1.05263200220657	-2.81492062465211	0.00487892828821867	0.0481185253854639
Barthea00771	16.5181983363525	2.65144695108755	0.750928950984088	3.53088923740768	0.00041416514221669	0.00712705072052028
