superfamily	age
Unknown	0.453
Unknown	0.347
Unknown	0.294
Unknown	0.016
Unknown	0.332
Unknown	0.186
Unknown	0.509
Unknown	0.310
Unknown	0.479
Unknown	0.484
Unknown	0.614
Unknown	0.307
Unknown	0.732
Unknown	0.655
Unknown	0.672
Unknown	0.239
Unknown	0.362
Unknown	0.556
Unknown	0.600
Unknown	0.000
Unknown	0.078
Unknown	0.497
Unknown	0.119
Unknown	0.574
Unknown	0.560
Unknown	0.046
Unknown	0.558
Unknown	0.026
Unknown	0.000
Unknown	0.451
Unknown	0.905
Unknown	0.450
Unknown	0.502
Unknown	0.188
Unknown	0.509
Unknown	0.568
Unknown	0.371
Unknown	0.349
Unknown	0.355
Unknown	0.482
Unknown	0.029
Unknown	0.183
Unknown	0.107
Unknown	0.000
Unknown	0.512
Unknown	0.250
Unknown	0.342
Unknown	0.361
Unknown	0.205
Unknown	0.694
Unknown	0.887
Unknown	0.430
Unknown	0.357
Unknown	0.148
Unknown	0.256
Unknown	0.612
Unknown	0.440
Unknown	0.268
Unknown	0.413
Unknown	0.745
Unknown	0.798
Unknown	0.441
Unknown	0.405
Unknown	0.224
Unknown	0.284
Unknown	0.045
Unknown	0.550
Unknown	0.634
Unknown	0.297
Unknown	0.257
Unknown	0.275
Unknown	0.274
Unknown	0.254
Unknown	0.362
Unknown	0.003
Unknown	0.401
Unknown	0.348
Unknown	0.208
Unknown	0.561
Unknown	0.490
Unknown	0.473
Unknown	0.238
Unknown	0.512
Unknown	0.398
Unknown	0.300
Unknown	0.272
Unknown	0.094
Unknown	0.670
Unknown	0.242
Unknown	0.635
Unknown	0.468
Unknown	0.370
Unknown	0.379
Unknown	0.294
Unknown	0.371
Unknown	0.711
Unknown	0.219
Unknown	0.794
Unknown	0.372
Unknown	0.801
Unknown	0.319
Unknown	0.472
Unknown	0.000
Unknown	0.223
Unknown	0.297
Unknown	0.284
Unknown	0.457
Unknown	0.587
Unknown	0.700
Unknown	0.586
Unknown	0.720
Unknown	0.401
